No,ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,gender
145,HRMN-0145,Invigorating Waterfall,Kahf,76.950,35,EDT,"Marine, Water, Lemon","Cedarwood, Floral, Violet","Dry Amber, Patchouli, Veliver, Musk ",Versatile,MALE
146,HRMN-0146,Kahf Revered Oud,Kahf,75.330,35,EDT,"Rose, lemon, fruity","Amber, gourmand","Vanilla, agarwood (oud), musk​",Day,MALE
147,HRMN-0147,Kahf Saffron Oud,Kahf,256.500,100,EDP,"Mandarin, Saffron, Clove.","Rose, Leather, Oud.","Cedarwood, Patchouli, Sandalwood, Musk.",Versatile,MALE
148,HRMN-0148,True Brotherhood,Kahf,76.950,35,EDT,"Cinnamon, Orange, Lemon.","Tobacco, Cypress, Lavender.","Tonka Beans, Cedarwood, Incense.",Day,MALE
149,HRMN-0149,Galleria,Alchemist Fragrance,199000,30,EDP,"Cape Jasmine, Plum","Tuberose, Oiellet","Honey, Redwood",Versatile,Female
150,HRMN-0150,Pink Laundry,Alchemist Fragrance,199000,30,EDP,"Clean Aldehydes, Chamomile, Green Notes","Jasmine, Lily of the Valley, Rose","Musky Notes, Patchouli, Sandalwood, Powdery Notes",Day,Female
151,HRMN-0151,Bois et Musc,Alchemist Fragrance,529000,50,EDP,Black Pepper,"Muguet, Cashmeran","Patchouli, Musk, Moss",Night,Unisex
152,HRMN-0152,Cachemire,Alchemist Fragrance,529000,50,EDP,"Cinnamon Bark Oil, Pepper Pink CO2, Apple","Rose Accord, Violet Notes, Ambrette ABS","Cedarwood Heart, Virgina, Musk",Night,Unisex
153,HRMN-0153,Musc Laiteux,Alchemist Fragrance,529000,50,EDP,"Pink Pepper, Orange Flower","Orris Crete, Transparent Floral, Riz Au Lait Accord","Ambrette ABS, Patchouli Oil",Night,Unisex
154,HRMN-0154,Musc Vanille,Alchemist Fragrance,529000,50,EDP,"Pink Pepper, Black Pepper","White Floral Bouquet, Coconut Accord","Musk, White Woods, Vanilla",Night,Unisex
155,HRMN-0155,Onirique,Alchemist Fragrance,449000,50,XDP,"Pear, Orange, Clary Sage","Tuberose, Orange Blossom, Jasmine","Vanilla, Cedarwood, Satin Musks",Versatile,Unisex
156,HRMN-0156,Out West,Alchemist Fragrance,339000,50,XDP,"Yuzu, Bergamot, Green Apple","Cedarwood, Rose, Plum","Musk, Patchouli, Vetiver",Day,Unisex
157,HRMN-0157,Home Garden,Alchemist Fragrance,199000,50,EDP,"Blackberry, Grapefruit, Clove","Cedar, Vetiver",Floral Notes,Day,Unisex
158,HRMN-0158,Got My Mojo Back,Alchemist Fragrance,199000,50,EDP,"Bergamot, Saffron","Rose, Jasmine","Sandalwood, Amber, Musk, Patchouli",Night,Unisex
159,HRMN-0159,LET'S FREAKING GO,Memoir Perfumery,249000,50,EDP,"Lavender, Bergamot, Magnolia","Myrrh, Amber, Guaiac Wood","Tonka Bean, Vanilla, Almond",Night,Unisex
160,HRMN-0160,Weekend,Filosophia,150000,50,EDP,"lime, apple","red lily, lavender, ginger",vanilla,Versatile,Unisex
161,HRMN-0161,Fly Me To The Moon,Filosophia,400000,100,XDP,"Orange, Bergamot","Saffron, White Floral, Rum, Seasalt, Nutmeg","Warm Leather Accord, Black Amber, Cedarwood, Patchouli, Vetiver",Night,Male
162,HRMN-0162,Bella Luna,Filosophia,150000,50,XDP,"Fresh Berries, Plum, Green Apple","Jasmine, Orchid, Lily","Caramel, Vanilla",Day,Female
163,HRMN-0163,Party Anthem Royale,Filosophia,375000,100,XDP,"Lavender, Lemon","Violet, Cypress, Ambroxan","Oud, Coffee, Tonka Bean, Deer Musk",Night,Male
164,HRMN-0164,Party Anthem,Filosophia,225000,100,XDP,"passion fruit, bergamot","cocktails, mint, pear","lavender, leather",Versatile,Unisex
165,HRMN-0165,Bed of Roses,Filosophia,225000,100,XDP,"bergamot, pomelo","rose, magnolia, violet","cedar, musk",Day,Female
166,HRMN-0166,Party Anthem Weirdo,Filosophia,225000,100,XDP,"tobacco, clove","roasted marshmallow, almond",vanilla,Night,Unisex
167,HRMN-0167,Beach Walk,Filosophia,225000,100,XDP,"sea notes, coconut","pineapple, sugarcane, bamboo","sandalwood, sand",Day,Unisex
168,HRMN-0168,CHNO,SAFF & Co,189000,30,XDP,"Pink pepper, Orange blossom, Pear","Coffee, Jasmin, Bitter almond, Licorice","Vanilla, Patchouli, Cedar, Cashmere wood",Night,Female
169,HRMN-0169,LOUI,SAFF & Co,189000,30,XDP,"Verbena, Green, Aldehydic","Rose, Peony, Lily of the Valley","Cedarwood, Musk",Day,Unisex
170,HRMN-0170,COCO,SAFF & Co,189000,30,XDP,"Citrus, Floral, Green","Marine, Woody","Musky, Oriental",Versatile,Unisex
171,HRMN-0171,Cascavel,SAFF & Co,189000,30,XDP,"Saffron, Orange Blossom","Jasmine, Violet, Lily of the Valley","Oakmoss, Ambergris",Versatile,Unisex
172,HRMN-0172,MALEALI,SAFF & Co,229000,30,XDP,"Bush Juniper, Tellicherry Pepper","Palo Santo a.k.a The Tree of Life, Red Sandalwood","Nagarmotha, Sulawesi Patchouli",Night,Male
173,HRMN-0173,Minouet,SAFF & Co,239000,30,XDP,"Starkrimson, Galbanum","Roseraie de l'Hay, Bigarade Orange, Iris Pallida","Cashmere Wood, Fior di Latte, Ambergris",Versatile,Female
174,HRMN-0174,SAFF,SAFF & Co,229000,30,XDP,"Bergamot, Mandarin, Saffron","Ylang, Lily of the valley, Jasmine/White Floral","Dryamber, Leathery, Musk",Night,Male
175,HRMN-0175,MORFOSIA,SAFF & Co,249000,35,XDP,"Rhubarb, Yuzu, Elletaria","Shogayu, Narcissus, Cape Jasmine","Amber, Red Cedar, haiti Vetiver",Versatile,Unisex
176,HRMN-0176,IRAI LEIMA,SAFF & Co,259000,35,XDP,"Cassis bud, Dalanghita, Pink peppercorn","Duchesse de Nemours, Water Iris, Raat Ki Rani","Ambrette, Ancient waters",Versatile,Unisex
177,HRMN-0177,ILIAD,SAFF & Co,229000,30,XDP,"Pink Peppercorn, Peony, Muguet","Ylang ylang, Iris, Hedione","Amber, Cashmeran, Patchouli",Night,Unisex
178,HRMN-0178,XOCOLATL,SAFF & Co,229000,30,XDP,"Mandarin, Pear, Apple","Heliotrope, Plumeria, Maltol, Gardenia","Coconut, Musk, Sandalwood",Versatile,Unisex
179,HRMN-0179,LAS POZAS,SAFF & Co,199000,30,XDP,Datura a.k.a The Angel's Trumpet,Sumatran benzoin & Nutmeg,"Cashmeran, Cedar, Sandalwood",Night,Unisex
180,HRMN-0180,Solaris,SAFF & Co,219000,30,XDP,"Bergamot, Mandarin, Violet Leaves","Orris, Freesia, Cedarwood","Vetiver, Amber, Tonka Bean",Versatile,Unisex
181,HRMN-0181,OSTARA,SAFF & Co,219000,30,XDP,"Raspberry. Passionfruit, Pear","Cassis Buds, Lily of the Valley","Amber, Patchouli, Heliotrope",Day,Unisex
182,HRMN-0182,S. O. T. B,SAFF & Co,249000,30,XDP,"Mandarin, Galbanum, Ylang","Tuberose, Jasmine, Orange flower","Vanilla, Tonka bean, Musk",Day,Female
183,HRMN-0183,OMNIA,SAFF & Co,189000,30,XDP,"Grapefruit, Green Notes","Rose, Floral, Iris","Woody, Heliotrope, Musk",Day,Unisex
184,HRMN-0184,TROUPE,SAFF & Co,189000,30,XDP,"Citrus/Fresh, Pear","Rose, Orange Blossom, Freesia","Patchouli, Musky, Amber",Versatile,Female
185,HRMN-0185,Matcha Éclat,Carl & Claire,279000,30,EDP,"Green tea, Bergamot, Orange","Jasmine, Matcha, orange blossom","mossy, cedarwood",Versatile,Unisex
186,HRMN-0186,Enchantée,Carl & Claire,279000,30,EDP,"Citrus, Ginger, Peach","White flowers, Jasmine, Tuberose, Heliotrope","Ambrette, Musk, Solar, Gourmand",Night,Female
187,HRMN-0187,Mystical Mirage,Carl & Claire,251100,30,EDP,"Oud, Turkish Rose",Violet,"Oud, Vanilla",Night,Unisex
188,HRMN-0188,Into the Woods,Carl & Claire,251100,30,EDP,"Violet, Lotus, Verbena","Lily of The Valley, Tea Rose","Sandalwood, Amber, Musk",Versatile,Unisex
189,HRMN-0189,Garden of Eden,Carl & Claire,251100,30,EDP,"Saffron , Jasmine","Amber, Wood",Cedarwood,Night,Unisex
190,HRMN-0190,Take My Hand,Carl & Claire,237150,30,EDP,"Bergamot, Fruity, Floral","Floral, Patchouli","Ambery, Animalic",Day,Female
191,HRMN-0191,Morning Glory,Carl & Claire,251100,30,EDP,"Citrus, White Floral, Fruity","Floral, Jasmine, Lily of The Valley","Moss, Musky, Oriental",Day,Female
192,HRMN-0192,A Love Like This,Carl & Claire,251100,30,EDP,"Lily, Aromatic, Eucalyptus, Ginger","Lily, Ambery, Jasmine","Cedarwood, Musky, Patchouli",Versatile,Female
193,HRMN-0193,Dancing With My Shadow,Carl & Claire,251100,30,EDP,"Floral, Fresh, Herbaceous","Floral, Oriental, Rose","Ambery, Balsamic, Musky",Versatile,Female
194,HRMN-0194,Delicate Embrace,Carl & Claire,251100,30,EDP,"Citrus, Freesia, Fruity, Pear","Lily of The Valley, Rose","Ambery, Musky",Day,Female
195,HRMN-0195,Spring Sonata,Carl & Claire,251100,30,EDP,"Citrus, Rose, Peony, Jasmine, Fruity","Floral, Fruity, Lactonic","Ambery, Floral, Musky",Day,Female
196,HRMN-0196,Talking to the Moon,Carl & Claire,251100,30,EDP,"Fruity, Orange Blossom","Jasmine, Tuberose, Woody","Ambery, Musky, Sweet",Night,Female
197,HRMN-0197,Song of the Youth,Carl & Claire,251100,30,EDP,"Citrus, Floral, Fruity","Magnolia, Musky, Iris, Vanilla","Ambery, Animalic, Moss",Versatile,Unisex
198,HRMN-0198,Black Dahlia,Carl & Claire,251100,30,EDP,"White Floral, Gourmand, Coffee","Vanilla, Floral, Woody","Ambery, Musky, Sweet",Night,Unisex
199,HRMN-0199,Enigma,Eloi Coco,349999,100,EDP,"Blackcurrant LMR, Raspberry","Jasmine LMR, Rose LMR","Patchouli Indonesia LMR, Tonka bean LMR",Night,Female
200,HRMN-0200,Rosie Posie,Eloi Coco,349999,100,EDP,"Cardamom, plum","Rose LMR, Cedarwood","Vanilla Bean LMR, Amber",Versatile,Female
201,HRMN-0201,Blanc Pepper,Eloi Coco,349999,100,EDP,"Pink Pepper, Bergamot","Orris, Violet, Orange Flower","Musk, Amberette",Versatile,Unisex
202,HRMN-0202,Moonlight Musk,Eloi Coco,349999,100,EDP,"Lychee, Blackcurrant","Rose, Muguet","White Musk, Vetiver LMR",Versatile,Unisex
203,HRMN-0203,Lightning & Thunder,Eloi Coco,349999,100,EDP,"Coffe, Mandarin","Lavender LMR, Orange Blossom","Vanilla Bean LMR, Tonka Bean LMR",Night,Unisex
204,HRMN-0204,A Lazy Afternoon,Eloi Coco,349999,100,EDP,"Ginger Lily, Pink Pepper LMR","Violet leaves LMR, Jasmine LMR","Sandalwood, LMR, Patchouli LMR",Day,Unisex
205,HRMN-0205,Park Lane Cigarillos,Eloi Coco,50000,100,EDT,"Lemon, Pineapple, Cinnamon","Green Leaf Violet, Lavender, Marine Accords","Musk, Leather, Amberwood",Night,Male
206,HRMN-0206,Polo Whisky Red,Eloi Coco,150000,100,EDT,"Red Grapefruit, Cedrat, Red Cranberry","Strong Saffron, Lavandin, Sage","Wood, Amber, Coffee",Night,Male
207,HRMN-0207,Niagara Falls,Eloi Coco,50000,30,EDP,"Bergamot, Cardamom, Nutmeg","Lavandin, Green Leaf, Cedarwood","Amberwood, Gaiacwood, Musk",Versatile,Unisex
208,HRMN-0208,The Dark Side,Eloi Coco,50000,30,EDP,"Clove Buds, Bergamot, White Petals","Jasmine, Pink Rose, Ylang Ylang","Violet, Rice Powder, Musk",Night,Unisex
209,HRMN-0209,Love in Motion Classic Man,Eloi Coco,349999,100,EDT,"Grapefruit, Nutmeg, Pine, Lemon","Clary Sage, Patchouli, Lavender, Guaiacwood","Cedarwood, Vetiver, Amber",Versatile,Male
210,HRMN-0210,Cibiche,Eloi Coco,65000,100,EDT,"Marine Notes, Mint, Green Accords, Corriander","Neroli, Geranium","Cedarwood, Oakmoss, Musk",Day,Unisex
211,HRMN-0211,Polo Whisky Green,Eloi Coco,150000,100,EDT,"Pine, Lavender, Bergamot, Cumin, Basil, Juniper","Marjoran, Jasmine, Carnation, Rose, Coriander","Patchouli, Leather, Amber, Musk, Cedar, Frankicense",Night,Male
212,HRMN-0212,Polo Whisky Black,Eloi Coco,175000,100,EDT,"Iced Mango, Spanish Sage, Green Fresh Accords","Silver Armoise, Hedione, Wormwood","Patchouli Noir, Sandalwood, Timberol, Tonka Bean",Versatile,Male
213,HRMN-0213,Coastal Grove,Eliotte Parfums,149000,35,EDP,"Lemon, Lime","Juniper Berries, Cypress, Pine Tree",Sea Water,Day,Unisex
214,HRMN-0214,Tonka Nostalgia,Eliotte Parfums,149000,35,EDP,"Tonka Bean, Cherry, Lemon","Bit Cola, Jasmine",Amber,Versatile,Unisex
215,HRMN-0215,Holy Moly,Eliotte Parfums,149000,35,EDP,"Bergamot, Grapefruit",Black Currant,"Ambroxan, Iso e Super",Versatile,Unisex
216,HRMN-0216,Super Last Course,Eliotte Parfums,149000,35,EDP,"Lemon, Orange",Cinnamon,"Vanilla, Caramel",Night,Unisex
217,HRMN-0217,Apple Sangria,Eliotte Parfums,149000,35,EDP,"Lemon, Apple, Pineapple",Cinnamon,"Sugar, Brandy",Day,Unisex
218,HRMN-0218,Vanille Seduction,Eliotte Parfums,189000,35,EDP,"Bergamot, Lemon","Pepper, Ginger, Rose","Vanilla, Cumin, Resins",Night,Female
219,HRMN-0219,Morning Kiss,Eliotte Parfums,149000,35,EDP,"Grapefruit, Orange","Neroli, Tea, Ginger",Ambroxan,Day,Unisex
220,HRMN-0220,Sweet Symphony,Eliotte Parfums,199000,35,EDP,Pepper,"Carnation, Olibanum, Saffron","Vanilla, Suede",Night,Female
221,HRMN-0221,Long Way To The Bar,Eliotte Parfums,199000,35,EDP,Rum,"Oak, Vanilla","Amber, Tobacco, Leather, Chestnut",Night,Male
222,HRMN-0222,Saturday Shenanigans,Scentalgia,230000,50,EDP,"Pineapple, Plum","Iris, Bulgarian Rose, Peony","Honey, Patchouli, Amber",Versatile,Unisex
223,HRMN-0223,Page 11,Scentalgia,230000,50,EDP,"Kiwi, Watermelon, Lemon Blossom","Peony, Cyclamen, Jasmine Sambac","White Musk, Patchouli, Sandalwood",Day,Female
224,HRMN-0224,Treats and Tea,Scentalgia,230000,50,EDP,"Genmaicha, Apple, Yuzu","Coffee, Cocoa, Tulip","Vanilla, Cedarwood, Tobacco",Versatile,Unisex
225,HRMN-0225,Nocturne,Scentalgia,245000,50,EDP,"Lemon, Bergamot, Lavender","Nutmeg, Violet, Vetiver","Tonka Bean, Suede, Sandalwood",Night,Male
226,HRMN-0226,Raw Morning 09:00AM,Scentalgia,230000,50,EDP,"Lemon, Rhubarb, Aldehyde","Wild Rose, Peony, Rose Petal","Amber, Patchouli, Vetiver",Day,Female
227,HRMN-0227,Golden Hour,Scentalgia,225000,50,EDP,"Saffron, Neroli","Milk, Almond, Iris","Vanilla, Ambergris, Caramel",Night,Female
228,HRMN-0228,Raw Morning 05:00 AM,Scentalgia,245000,50,EDP,"Bergamot, Orange Blossom","Orange Blossom, Rose","White Musk, Vanilla",Day,Unisex
229,HRMN-0229,Anything Else?,Scentalgia,225000,50,EDP,"Raspberry, Blackcurrant","Cotton Candy, Caramel, Iris","Benzoin, Honey, Vanilla, Patchouli",Night,Female
230,HRMN-0230,The Starry Night,Scentalgia,190000,50,EDP,"Cardamom, Grapefruit, Pink Pepper","Geranium, Rose, Ginger, Aromatic Cedar","Nutmeg, Cedarwood, Musk",Night,Male
231,HRMN-0231,The Kiss,Scentalgia,175000,50,EDP,"Floral, Saffron","Ylang Ylang, Spicy, Amber Accord","Musky, Woody, Vanilla",Night,Female
232,HRMN-0232,Le Saint Tropez,Bonavie,59600,30,EDP,"BERGAMOT, NUTMEG, CARDAMOM","LILY OF THE VALLEY, VIOLET, YLANG","CEDARWOOD, VETIVER, MUSKY",Day,Unisex
233,HRMN-0233,Madeleine et Glacé,Bonavie,59600,30,EDP,"BERGAMOT, RED FRUITS, NEROLI","TUBEROSE, ORANGE BLOSSOM, JASMINE","AMBER, WHITE MUSK, WOODY",Day,Unisex
234,HRMN-0234,Poudre et Plume,Bonavie,59600,30,EDP,"Berry, Bergamot, Violet Leaf","Jasmine, Lily of the Valley, Rose","Patchouli, Musk, Vetiver",Day,Unisex
235,HRMN-0235,Le Jasmin Doux,Bonavie,59600,30,EDP,"Cassis Buds, Green, Pear","Jasmine, Lily of The Valley, Iris","Dry Amber, Musk",Day,Unisex
236,HRMN-0236,Mon Petit Soleil,Bonavie,59600,30,EDP,"floral, mandarin, ivy","Orchid, violet, rose","Plum, wood, musk",Day,Unisex
237,HRMN-0237,La Belle Étoile,Bonavie,59600,30,EDP,"Bergamot, Pear, Berry","Jasmine, Peony","Musk, Patchouli",Day,Unisex
238,HRMN-0238,Fleur du Jardin,Bonavie,59600,30,EDP,"Mandarin, Dewberry, Watermelon","Carnation, Muguet, Jasmine","Amber, Musk, Patchouli",Day,Unisex
239,HRMN-0239,Creme Canele,Bonavie,59600,30,EDP,"pear, pink pepper, coffee","jasmine, caramel, heliotrope","vanilla, patchouli, cedarwood",Night,Unisex
240,HRMN-0240,Marie Antoinette,Bonavie,59600,30,EDP,"orange flower, bergamot, mandarin","jasmine, rose, ylang-ylang","cedarwood, patchouli, musk",Day,Unisex
241,HRMN-0241,La Petite Sirene,Bonavie,59600,30,EDP,"Citron, Mandarin, Orange","Aquatic, Magnolia, Ylang","Cedarwood, Vetiver, Musky",Day,Unisex
242,HRMN-0242,Wild Side,Cave,155900,50,XDP,"Bergamot, Pepper","Pepper, Lavender, Patchouli, Geranium","Cedar Woods, Labdanum",Versatile,Male
243,HRMN-0243,Vanilla Oud,Cave,225000,50,XDP,"Candied mandarin, vanilla, floral","Coconut, rice, lily flower, apple blossom","Vanilla, woody notes",Versatile,Male
244,HRMN-0244,Eather Oud,Cave,155900,50,XDP,"Oud wood, Incense","Raspberry, Saffron, Benzoin","Leather, Amberwood, Geranium",Versatile,Male
245,HRMN-0245,Easy Day,Cave,205000,50,EDP,"Passion Fruit, Lime, Ginger, Red Apple","Incense, Pepper, Mint","Vanilla, Woody",Day,Unisex
246,HRMN-0246,Golden Soul,Cave,205000,50,EDP,"Mandarin Orange, Grapefruit, Mint","Cinnamon, Rose","Wood, Patchouli",Versatile,Male
247,HRMN-0247,Aura Lovers,Kitschy,169000,30,XDP,"Pink Peppercorn, Bergamot, Solar","Jasmine, Orange Flower","Coffee, Vanilla, Sandalwood",Versatile,Unisex
248,HRMN-0248,AURA Blush,Kitschy,169000,30,XDP,"Apple, Orange Zest, Chamomile","Floral, Patchouli, Sandalwood, Tea","Musk, Amberwood, Lorenox, Orcanox",Versatile,Unisex
249,HRMN-0249,AURA Tears,Kitschy,169000,30,XDP,"Floral, Sweet Amber, Woody","Patchouli, Warm Spicy, Coconut","Musk, Creamy Powder, Velvet",Versatile,Unisex
250,HRMN-0250,Rania de Bloem,Kitschy,349000,50,EDP,"Rose, Wild Berry, Scent Garden","Woody, Forest Essence, Blossom Bouquet","Amber, Musky, Earthy Undertones",Night,Unisex
251,HRMN-0251,Fairytale,Kitschy,349000,50,XDP,"Pistachio, Hazelnut, Cassis","Peony, Jasmine, Muguet","Vanilla, Maltol",Versatile,Unisex
252,HRMN-0252,Day Dream,Kitschy,229000,50,EDP,"Oud, Pink Pepper, Cardamon, Lavender.","Jasmine, Patchouli, Cedar, Vanilla, Muguet.","Amber, Sandalwood, Tonka Bean, Musk, and Coconut.",Day,Unisex
253,HRMN-0253,Forever Vacation,Kitschy,249000,50,EDP,Marshmallow and Pink Pepper,"Jasmine, Iris, and Vanilla","Musk, Wood, Orange, Patchouli",Day,Unisex
254,HRMN-0254,Date Night,Kitschy,249000,50,EDP,"Calabrian Bergamot, California Orange, Mint","Magnolia, Grasse Rose, Violet","Musk, Cedar, Bulgarian Rose",Night,Unisex
255,HRMN-0255,Golden Hour,Kitschy,249000,50,EDP,Honey and Jasmine Sambac,Marigold,Benzoin and Ylang Ylang,Versatile,Unisex
256,HRMN-0256,Profumo,Bonjour,175000,100,EDP,"Bergamot, sea notes","Rosemary, Sage, Geranium","Incense, patchouli",Versatile,Male
257,HRMN-0257,Bliss Roses,Bonjour,250000,100,EDP,"Rose, Bulgarian Rose",Agarwood Saffron,"Ambergris, Black Pepper",Versatile,Unisex
258,HRMN-0258,Chant d'amour,Bonjour,125000,50,EDP,"Blueberry Bergamot, Ginger","Rose, Jasmine","Musk, Cypress, Patchouli",Versatile,Unisex
259,HRMN-0259,Green Tea Pour Femme,Bonjour,80000,30,EDP,"Mint, Rhubard, Lemon, Bergamot","White Amber, Jasmine, Musk, Fennel","Carnation , Jasmine, Oakmoss, Cloves, Caraway",Versatile,Unisex
260,HRMN-0260,Blue Icon,Bonjour,195000,100,XDP,"Fig Leaf, Grapefruits, Bergamot, Water Notes","Black Pepper, Patchouli, Violet","Saffron, Tonka Bean, Incense, Musk",Night,Male
261,HRMN-0261,Tres Chic,Bonjour,125000,50,EDP,"Damask Rose, Saffron, Jasmine","Rose Water, Amberwood, Ambergris","Agarwood, White Musk, Cedar",Night,Female
262,HRMN-0262,My Wish,Bonjour,150000,100,EDP,"Kiwi, Pink Pepper, Rhuburb","Watermelon, Jasmine, Cyclamen","Lemon, Sandalwood, Musk",Versatile,Female
263,HRMN-0263,Forever Musc,Bonjour,195000,100,XDP,"Ylang-Ylang, Basil, Galbanum, Musk,Lily","Rose, Jasmine - Musk, Lily","Iris, Amber, Vanilla, Jasmine, Peach, Vetiver",Night,Female
264,HRMN-0264,Lady Boss,Bonjour,81250,50,EDP,"Strawberry, Raspberry, Blackberry, Sour Cherry, Black Currant, Mandarin Orange, Lemon","Violet, Jasmine","Musk, Vanilla, Cashmeran, Woody Notes, Oakmoss, Amber, Patchouli",Versatile,Female
265,HRMN-0265,Forever Young,Bonjour,60000,30,EDP,"Bergamot, Mandarin Orange, Peach","Violet , Red Apple , Apricot, Woody, Musk","Blackcurrant, Tuberose, Gardenia, Nectarine",Day,Unisex
266,HRMN-0266,Musk Ambre,Bonjour,64000,30,EDP,"Ylang -Ylang, Basil, Galbanum","Musk, Lily, Rose, Jasmine","Iris, Amber, Vanilla, Peach, Vetiver",Day,Female
267,HRMN-0267,Roses n Musk,Bonjour,135000,100,EDP,-,"Damask Rose, Rose Water","Agarwood, White Musk, Amber",Night,Female
268,HRMN-0268,Quantum,Bonjour,180000,100,XDP,"Melon, Bergamot, Mint, Black","Sea Water, Green Apple, Cappucino, Cardamon","Amber, Woodsy Notes",Versatile,Male
269,HRMN-0269,Only You,Bonjour,175500,100,XDP,"Bergamot, Mandarin Orange, Peach, Violet, Red Apple, Apricot","Blackcurannt, Tuberose, Gardenia, Nectarine, Marigold",Woodsy Notes,Day,Female
270,HRMN-0270,Beautiful,Bonjour,140000,100,EDP,"Pear,Mandarin,Pink Papper Coffe, Neroli, Prune","Rose, Orange Blossom, Jamine Freesia,Caramel, Heliotrope","Vanilla, Patchouli, Sandalwood,Wood, Cedar, Amber, Musk",Versatile,Female
271,HRMN-0271,Magnolia Bloom,Bonjour,60000,30,EDP,"Magnolia, Fruity, Citruses. Orange Blossom","Jasmine, Rose, Lily Of The Valley","Vanilla, Vetiver, SandalWood",Versatile,Female
272,HRMN-0272,Black Hole,Bonjour,195000,100,XDP,"Pear, Pink Pepper, Orange Blossom","Coffee, Jasmine, Bitter Almond, Licorice","Vanilla, Patchouli, Cashmere Wood, Cedar",Night,Female
273,HRMN-0273,Love Scent,Bonjour,81250,50,EDP,"Violet, Tuscan Iris, Green Notes","Rose, Tuscan Iris, Chinese Jasmine","Peach, Acácia, White Musk",Versatile,Female
274,HRMN-0274,Lagoon,Bonjour,135000,100,EDP,"Sicilian Lemon, Bellflower, Cedar, Apple","White Rose, Bamboo, Jasmine","Cedar, Musk, Amber",Versatile,Female
275,HRMN-0275,Cotton Sparkle,Bonjour,64000,30,EDP,"Cotton Candy, Nectarine, Blackcurrant, Clementine","Wild Orchid, Orange Blossom","Woodsy, Musk,Ambre",Versatile,Female
276,HRMN-0276,Beauty,Bonjour,175000,100,EDP,"Pear, mandarin, pink pepper, coffe, neroli","Rose, orange blossom, jasmine, caramel","Vanilla, patchouli, sandalwood, musk, amber",Night,Female
277,HRMN-0277,Vanilla Silk,Bonjour,64000,30,EDP,"Vanilla, Floral, Coconut","Rice, Vanilla, Coconut","Heliotrope, Musk, Sandalwood",Versatile,Female
278,HRMN-0278,Blue Circle,Bonjour,148750,100,EDT,"Petitgrain, Neroli, Lavender, Rosemary","Galbanum, Geranium, Jasmine","Vetiver, Cedar, Oakmoss, Sandalwood, Amber",Day,Male
279,HRMN-0279,BLACK STONE,Bonjour,81250,50,EDP,"Champagne Citruses, Papper","Geranium, Violet Leaves","Sandalwood, Ambrocenide",Night,Male
280,HRMN-0280,Explorer,Bonjour,187500,100,XDP,"Bergamot, Pink Pepper, Clary Sage","Haitian Vetiver, Leather","Ambroxan, Akigalawood, Indonesian Patchouli Leaf, Cacao Pod",Versatile,Male
281,HRMN-0281,Twilight Ginger,Bonjour,81250,50,EDP,Peony,"Ginger, Candied Ginger",Cedar,Night,Female
282,HRMN-0282,Ethereal Silver Mirage,Mine. Perfumery,295000,30,XDP,"Petitgrain, Grapefruit, Bergamot","Suede, Pine, Hedione, Silver Needle Tea","Musk, Sandalwood, Guaiacwood",Day,Unisex
283,HRMN-0283,DIRTY MONEY,Mine. Perfumery,350100,50,EDP,"Black Pepper, Orange","Sandalwood, Poppy, Ambroxan, Neroli","Vanilla, Bank Notes, White Musk, Patchouli",Night,Unisex
284,HRMN-0284,TRUST FUND BABY,Mine. Perfumery,350100,50,EDP,"Black Pepper, Orange","Sandalwood, Poppy, Ambroxan, Neroli","Vanilla, Bank Notes, White Musk, Patchouli",Night,Unisex
285,HRMN-0285,DADDY’S MONEY,Mine. Perfumery,350100,50,EDP,"Rosemary, Violet Leaf, Bergamot","Myrhh, Labdanum, Olibanum, Vanilla","Wallet, Amber, Oud, Sandalwood, Cedar",Night,Unisex
286,HRMN-0286,OLD MONEY,Mine. Perfumery,350100,50,EDP,"Rosemary, Violet Leaf, Bergamot","Myrhh, Labdanum, Olibanum, Vanilla","Wallet, Amber, Oud, Sandalwood, Cedar",Night,Unisex
287,HRMN-0287,24 Carat,Mine. Perfumery,345400,50,XDP,"Floral Nectar, Mimosa, Pink Pepper","Gardenia, Gold-Leaf, Iris, Violet, Tuberose","Suede, Vanilla Milk, Amber, Leather",Night,Unisex
288,HRMN-0288,Toxique Vanille,Mine. Perfumery,345400,50,XDP,White musk Plum,White woods Labdanum Resinous Cigar Whiskey Congac,Amber vanilla Ambroxan Oud Guaiacwood,Night,Unisex
289,HRMN-0289,Vanilla Caviar,Mine. Perfumery,328500,50,XDP,Lavender magnolia grapefruit,Orris root caviar ginger jasmine peony,vanilla absolute tonka bean ambroxan musk sandalwood,Night,Unisex
290,HRMN-0290,Ethereal Thermal ,Mine. Perfumery,320800,50,EDP,Bergamot Cassis Rose,Suede Violet Sandalwood, Vetiver Vanilla White Musk,Day,Unisex
291,HRMN-0291,2023,Mine. Perfumery,338400,50,EDP,"Almond, Cherry, Pistachio","Blossoms, Cyclamen, Sandalwood","Cherry, Salted Caramel, Vanilla",Day,Unisex
292,HRMN-0292,Perky Pomegranate,Mine. Perfumery,205600,30,EDP,"Ambroxan, Toffeed sugar, Guaiacwood","Muguet, Rose, Sandalwood","Pomegranate. Rhubarb, Neroli",Day,Unisex
